image,ground_truth,prediction,CER_formula,CER_score,,,,
test001_1.jpg,B9140BCD,9140,CER = (0 + 4 + 0) / 8,0.5,,Hasil Gambar Yang Benar,Hasil Gambar Yang Salah Satu Huruf/Angka. atau hampir benar,total yang salah
test001_2.jpg,B2407UZO,B2407UZ,CER = (0 + 1 + 0) / 8,0.125,,8,30,140 data
test001_3.jpg,B2842PKM,B284PKM,CER = (0 + 1 + 0) / 8,0.125,,,19,
test002_1.jpg,BG1352AE,1362AE,CER = (1 + 2 + 0) / 8,0.375,,,1,
test003_1.jpg,B2634UZF,B2634,CER = (0 + 3 + 0) / 8,0.375,,,,
test003_2.jpg,B1995JVK,B1995JUK,CER = (1 + 0 + 0) / 8,0.125,,,total 50 yang salah satu huruf atau angka,
test004_1.jpg,B9062VEH,90822,CER = (4 + 1 + 0) / 8,0.625,,,,
test005_1.jpg,DD8798KM,2798,CER = (3 + 2 + 0) / 8,0.625,,,,
test006_1.jpg,T1329KC,1329,CER = (0 + 3 + 0) / 7,0.429,,,,
test007_1.jpg,AD8865EE,865EE,CER = (0 + 3 + 0) / 8,0.375,,,,
test008_1.jpg,DK1157AAB,DK1157AB,CER = (0 + 1 + 0) / 9,0.111,,,,
test008_2.jpg,AA1997FE,1997,CER = (0 + 4 + 0) / 8,0.5,,,,
test009_1.jpg,H8518NA,85178,CER = (0 + 3 + 1) / 7,0.571,,,,
test009_2.jpg,K1649GB,1649,CER = (0 + 3 + 0) / 7,0.429,,,,
test010_1.jpg,B9416PCN,941,CER = (0 + 5 + 0) / 8,0.625,,,,
test010_2.jpg,H1147UY,1147,CER = (0 + 3 + 0) / 7,0.429,,,,
test011_1.jpg,H1691IL,H1691IL,CER = (0 + 0 + 0) / 7,0,,,,
test011_2.jpg,B9374RI,9371,CER = (3 + 1 + 0) / 7,0.571,,,,
test011_3.jpg,D1204AIG,1204AI,CER = (0 + 2 + 0) / 8,0.25,,,,
test012_1.jpg,E1887BA,1887,CER = (0 + 3 + 0) / 7,0.429,,,,
test013_1.jpg,B1439UZP,1439USPB,CER = (1 + 1 + 1) / 8,0.375,,,,
test013_2.jpg,B1128WOS,1128,CER = (0 + 4 + 0) / 8,0.5,,,,
test014_1.jpg,B1388DFX,1388,CER = (0 + 4 + 0) / 8,0.5,,,,
test015_1.jpg,AD1798BT,1798,CER = (0 + 4 + 0) / 8,0.5,,,,
test016_1.jpg,E1517DQ,1517,CER = (0 + 3 + 0) / 7,0.429,,,,
test017_1.jpg,AD8982FS,8982,CER = (0 + 4 + 0) / 8,0.5,,,,
test018_1.jpg,L7603UA,7603,CER = (0 + 3 + 0) / 7,0.429,,,,
test019_1.jpg,AD7HS,AD7HS,CER = (0 + 0 + 0) / 5,0,,,,
test019_2.jpg,B1959WYK,1959WYK,CER = (0 + 1 + 0) / 8,0.125,,,,
test020_1.jpg,AG8634EK,8692,CER = (4 + 2 + 0) / 8,0.75,,,,
test020_2.jpg,AD1329PY,1328,CER = (3 + 2 + 0) / 8,0.625,,,,
test021_1.jpg,BA1709DW,1709,CER = (0 + 4 + 0) / 8,0.5,,,,
test021_2.jpg,W1236VZ,1236VZ,CER = (0 + 1 + 0) / 7,0.143,,,,
test022_1.jpg,W1825OZ,182507,CER = (2 + 1 + 0) / 7,0.429,,,,
test022_2.jpg,L1202UE,1202,CER = (0 + 3 + 0) / 7,0.429,,,,
test022_3.jpg,L3823IB,382,CER = (0 + 4 + 0) / 7,0.571,,,,
test023_1.jpg,B1730JLO,1730,CER = (0 + 4 + 0) / 8,0.5,,,,
test024_1.jpg,B2964TRU,2964,CER = (0 + 4 + 0) / 8,0.5,,,,
test025_1.jpg,S5585LP,55685,CER = (0 + 3 + 1) / 7,0.571,,,,
test025_2.jpg,L2858RR,L285R,CER = (0 + 2 + 0) / 7,0.286,,,,
test025_3.jpg,W1185ZO,Z02,CER = (2 + 5 + 0) / 7,1,,,,
test025_4.jpg,9840VU,9840,CER = (0 + 2 + 0) / 6,0.333,,,,
test026_1.jpg,N9652DF,9652,CER = (0 + 3 + 0) / 7,0.429,,,,
test026_2.jpg,L3836ZX,38836XZX,CER = (0 + 1 + 2) / 7,0.429,,,,
test027_1.jpg,N1905IG,1905IG,CER = (0 + 1 + 0) / 7,0.143,,,,
